filename,duration,flag,transcription
sama_nbl_06h05jul2022_0012.wav,10,N,ekhethwapha ngombana kuzakukhuphula intengo yezinto abatjhayeli bangalindela ukubhadela khudlwana nabathel'iimbaseli njengoburhulumende amemezele ukuthi
sama_nbl_06h05jul2022_0013.wav,4.8,N,iyakhuphuka k'sasa intengo yeembaseli umnyango wezenjiwa namandla
sama_nbl_06h05jul2022_0014.wav,8.3,N,Umengameli u Cyril Ramaphosa ubalwa neenkhulu zombuso eziyokukhambela umngcwabo omkhulu wabantu abatjha abamatjhumi amabili nanye
sama_nbl_06h05jul2022_0019.wav,12.9,N,abahlangulwe eplasini le [Belfast] abongazimbi abatholwe lapho kubalwa abomma abalikhomba abentwana abalithoba abangaphasi kweminyaka emihlanu ubudalala amadoda amatjhumi amabili namadoda amatjhumi amabili nantathu
sama_nbl_06h05jul2022_0022.wav,5.3,N,bayokulilisa umndeni kodwana usihlalo wesiphande we   [a_n_c youth league] u Ondela bayokulilisa umndeni 
sama_nbl_06h05jul2022_0023.wav,5.5,N,ngizibeka la zesimbi yesithandathu bezifundwa nguNokuthula Mtshweni kukwekwezi f_m kukhanya bha
sama_nbl_06h05jul2022_0024.wav,9.7,N, ama  [hawks] athi abongazimbi balethwe ngeteksi ekhethwapha ebeyibuya e  [Mozambique] iya e [Lydenburg] lapho indodana yomnikazi weplasi nomkhukhuthisi munye
sama_nbl_06h05jul2022_0025.wav,5.3,N,ng'yabuye godu nezesimbi yekhomba njenganje sikhathi se   [team rnb]
sama_nbl_06h05jul2022_0026.wav,5.8,NS,uthi abamfuni umengameli emngcwabeni lo  [what is it that the president is coming here to do I understand that ] 
sama_nbl_06h05oct2023_0001.wav,5.1,N,ne asede eqakatheke khulu emzimbeni womuntu kuthiwa batjho ayinonisi
sama_nbl_06h05oct2023_0002.wav,6.2,N,bavele phambi kwekomidi izolo ukhulumisana nayo kokwenziwa kwamatjhuguluko eendabeni zeemali 
sama_nbl_06h05oct2023_0005.wav,9.1,N,nanyana kunjalo uvumile bona imibiko eyahlukeneko ayikafunyanwa ihlangano ye e_f_f ihlaba uNzimande ngokungakhiphi umbiko osaleleko
sama_nbl_06h05oct2023_0006.wav,6.2,N,ekusiza nawufuna isaphulelo samathikithi nanokuthi sewungakghona ukudosa umthelo
sama_nbl_06h05oct2023_0009.wav,7.6,N,bona awukho umbiko awufihlako ngomphumela wephenyo ngeentjhijilo ezikhona eendabeni ze NSFAS 
sama_nbl_06h05oct2023_0010.wav,5.3,N,eqalene nokungena nophuma kwabantu ngokungemthetho nokukhukhuthiswa kwepahla
sama_nbl_06h05oct2023_0013.wav,5.9,N,ngithokoza khulu kwanamhlanje iba nemini emnandi nanzi zokuthoma zelanga
sama_nbl_06h05oct2023_0014.wav,10.6,N,umnyango wezokulima nawo uthabe khulu ngokuthengiswa kwenyama le inyama le kadumbana kuthiwa batjho inamaphesende aphezulu wezakhamzimba ezima  [Protein] 
sama_nbl_06h05oct2023_0015.wav,7.5,N,umbiko kusasa ehlelweni elikhethekileko kungelesihlanu sizakuqala iindaba eziphathelene ne   [aarto]
sama_nbl_06h05oct2023_0016.wav,5.7,N,batjho ayifani neyekomo NguSibusiso Skosana osihlanganisele 
sama_nbl_06h05oct2023_0018.wav,10.2,N,ayokuvela ekhotho ngokurhabako ungqongqotjhe wefundo ephakemeko u Blade Nzimande utjele ikomidi epalamende kwezefundo
sama_nbl_06h05oct2023_0019.wav,7.3,N,elimpopo ngokukhamba kwelanga namhlanje ngehloso ye b_m_a kusindisa imikhawulo yesewula afrika
sama_nbl_06h05oct2023_0020.wav,8,N,afumane isango le izolo abakhweli bekoloyi leyo kusisakhamuzi seMalawi seminyaka emasimu amathathu
sama_nbl_06h05oct2023_0021.wav,8.1,N,ingezwangobatjho yekohlakalo yebhodi ye NSFAS uNzimande yi NSFAS kubalwa nomunye wabanikeli bomsebenzi 
sama_nbl_06h05oct2023_0022.wav,9,N,e  [Wonderfontein Belfast] esifundeni sepumalanga isango le ebegade ifakwe eemgodleni emasumi amabili nobunane nayithengiswako
sama_nbl_06h05oct2023_0023.wav,8.6,N,ebegade bavela eswatini nabasiya e  [johannesburg] amadoda womabili lawo kukholwa bona awanayo imitlolo efaneleko
sama_nbl_06h05oct2023_0024.wav,6.2,N,izakhamuzi zithi ukunikelwa kwezenzelwa khulu khulu emaloktjhini kumbi kwamanikelela
sama_nbl_06h05oct2023_0025.wav,10.6,NS,yisimbi yesithandathu poro ehloko Malindi fumana iinsombululo zakho ezikufaneleko zomndenakho namkha zebhizinisakho isikwelede sitholakala ngokwem'gomo yoku   [qualifier]
sama_nbl_06h05oct2023_0026.wav,10.3,N,lapha kukwekwezi f_m kukhanya bha amapholisa afumene isango yobudisi be  [three hundred and thirthy] e [wonderfontein Belfast] esifundeni sempumalanga
sama_nbl_06h05oct2023_0027.wav,7.2,N,ilangineswe emalini eyi   [three million rand] amapholisa ajamise ikoloyi ebegade isolisa ayisetjha
sama_nbl_06h05oct2023_0028.wav,5.7,N,yahlonywa njengeziko  bomphakathi ngenyanga ka  [April] unyaka lo
sama_nbl_06h05oct2023_0029.wav,9,S,sikuzise ufike lapha ufuna khona i f_n_b yiphiko le  [first rand bank limited] umboneleli otlolisiweko wesizo lezeemali nombolekisi osemthethweni
sama_nbl_06h06feb2022_0001.wav,8.9,N,kunjalo nje angaphelela kuhle umuntu wakhona kuvulwe icala angabizwa nekhotho angabotjhwa ngezinye zeendaba ezabe sikuphathele zona ehleleweni sibhula umbethe
sama_nbl_06h06feb2022_0002.wav,8.6,N,mbili ngemva kwesimbi yesithandathu ekuseni namhlanjesi mlaleli wekwekwezi f_m ngiyakulotjhisa bengiyakwamukela 
sama_nbl_06h06feb2022_0004.wav,9.1,N,wabelane ngayo incwadi leyo ngemva kwemikhulumiswano kanye nebambambela lakamengameli wamajaji u Raymond Zondo
sama_nbl_06h06feb2022_0006.wav,8.6,N,sizokubuya sikuqalele neendaba lezi ezivelileko lapho kwenzeke khona kuthi kwaba neenkhukhula kwaba nama   [floods] endaweni ngokuhlukahlukana
sama_nbl_06h06feb2022_0007.wav,4.7,N,amacalabo eyafakwa kodwana kubonakale kungabi nesisombululo
sama_nbl_06h06feb2022_0008.wav,5.5,N,neendaba lezi zokuhlungwa kwekulu yamajaji
sama_nbl_06h06feb2022_0009.wav,5.5,N,ngendlela likhambiswe ngakhona uphrofesa we  [university] ovela emkhakheni wezomthetho
sama_nbl_06h06feb2022_0010.wav,8.7,N,yokukhambiswa kwamacala esifundeni sepumalanga abantu bayalila tle ngendlela amacala akhambiswa ngakhona abantu abakathabi
sama_nbl_06h06feb2022_0013.wav,8.2,N,kwakho ehlelweni ngezeveke le kukwekwezi kukhanya bha iindaba esizokutjhejela zonake kungosondo sizokuqalela indaba ezikhamba phambili
sama_nbl_06h06feb2022_0014.wav,9.2,NS,[commissioner Cyril Xaba made the] kube neemphakamiso ezinengi khulu bona kwenziweni
sama_nbl_06h06feb2022_0016.wav,5.2,N,eh zokuqalela zona ke zanamhlanjesi ehlelweni ngezibhula umbethe
sama_nbl_06h06feb2022_0019.wav,6.7,N, kwabonkhethani njenganje izokusulwa incwadi emumethe amacala
sama_nbl_06h06feb2022_0022.wav,5.3,N,isekela lakamengameli ekhotho ephakemeko yokudlulisa kwamacala uXola
sama_nbl_06h06feb2022_0023.wav,9.3,NS,ikomitjhini yezobulungiswa kungenzeka izithole ilwisana namacala lokulandela ihlelo lokuhlungwa kwabonkhethani esikhundleni sekulu yamajaji
sama_nbl_06h06feb2022_0025.wav,5.6,N,eh ngencwadi le u [commissioner] U Cyril Xaba nguye owenze isiphakamiso sokuthoma
sama_nbl_06h06feb2022_0028.wav,5.3,N,kanti begodu enye indaba esiyiphethe namhlanjesi indaba ekulu yindaba ezabe sikuphathele yona
sama_nbl_06h06feb2022_0030.wav,6.3,N,ubhalele ikomitjhini le incwadi efundwe tjhatjhalazi nasele kuyokuqedwa ngehlelo lokuhlungwa
sama_nbl_06h06feb2022_0031.wav,9.1,N,lihlelo ngezeveke le kukwekwezi  kukhanya bha zanamhlanjesi uzithulelwa nguNombuso wakwaMahlangu kanti ngikhambisana notokologo 
sama_nbl_06h06feb2022_0032.wav,7.2,N,uPitse bekunguye obegade angusihlalo begodu kwaba nguye ofunde incwadi leyo
sama_nbl_06h06feb2022_0033.wav,4.8,N,ukomitjhinari uMvuzo Notjeni uthe nakahlathulula incwadi
sama_nbl_06h06jun2023_0001.wav,5.2,N,ubaba u Jacob zuma kanti ke sikuthomile nangomhlangano omkhulu obizwa
sama_nbl_06h06jun2023_0002.wav,9.2,N,nesokuba ngusomkhandlu womnyango wezokulima kufikela ngo [two thousand and nine] kanti emalangeni edluleko ukhe wathinteka kuzwangobatjho yobukhohlakali
sama_nbl_06h06jun2023_0003.wav,8.8,N,bokufuna imali yokufunjathiswa kumvikeli womphakathi uBusisiwe Mkhwebane njengoba kubanjwe iphenyo lokuthi usawulungele na umsebenzakhe uMkhwebane
sama_nbl_06h06jun2023_0004.wav,7.2,N,ngaphambi kokuphatha isikhundlesi u [Joemat Petersen] waphatha isikhundla sokuba ngusomkhandlu yomnyango wezefundo e [northern cape]
sama_nbl_06h06jun2023_0005.wav,12.7,N,ohlatjwe wabulawa erenkeni yamateksi e  [north west]  ngokuhlongakala kwakhe umsolwa obanjelwe isehlakalwesi uyokuqalana namacala wokubulala nokulinga ukubulala ngemva kokuthi omunye umfundi agijinyiselwe esibhedlela
sama_nbl_06h06jun2023_0006.wav,7,N,amapholisa wenarha eqinisekise ukuhlongakala komunye wabofokisi ebekaphenya icala lokweqa kwaka Thabo Bester ejele
sama_nbl_06h06jun2023_0007.wav,6.1,N,ukomitjhinara wamapholisa wenarha uFani Masemula umhlathulule njengofokisi obekazinikele khulu emsebenzinakhe
sama_nbl_06h06jun2023_0008.wav,9,N,ufokisi lo besele asebenze emapholiseni iminyaka ematjhumi amathathu nanye kanti wakhe waba mphathi wephiko eliphenya ubulelesi obuhleliweko esifundeni se  [free state] 
sama_nbl_06h06jun2023_0009.wav,10.1,N,iimphathimandla ze [Senegal] zikubeke ngelihlo elibukhali ubujamo be  [Dakar] lokhu kuza ngemva komguruguru othonywe batjhagali abaphikisa umbuso namapholisa enarheni leya
sama_nbl_06h06jun2023_0010.wav,6,N,[Tina Peterson] obe lilunga le a_n_c epalamende nokhe waba ngungqongqotjhe
sama_nbl_06h06jun2023_0011.wav,4.8,N,akhabe nomfakela kilokhu afisa ngathana kungakhulunywa ngakho
sama_nbl_06h06jun2023_0012.wav,5.4,N,kweenhlangano zamateksi nabakhweli ngokwabo njengombana sibezwile 
sama_nbl_06h06jun2023_0013.wav,5.1,N,lapha ku [cabinet ] kanti ke zinengana iinkhundla akhaziphatha hlangana nazo
sama_nbl_06h06jun2023_0014.wav,6.7,N,encange yetjhingalanga ye afrika amaphaphu athoma ukubaphezulu ngemva kokugwetjwa komrholi wehlangano ephikisako
sama_nbl_06h06jun2023_0015.wav,7,N,nakubalwa nesokuba ngungqongotjhe womnyango wezamandla ngesikhathi sombuso kamengameli walokha enarheni le u Jacob Zuma
sama_nbl_06h06jun2023_0016.wav,6.3,N, ukhe waba ngungqongqotjhe wezamandla amahlathi nokuthiya ngaphasi koburholi kukamengameli walokha
sama_nbl_06h06jun2023_0017.wav,5.9,N,umnyango wezemisebenzi yomphakathi indlela nokuthutha empumalanga othoma namhlanje
sama_nbl_06h06jun2023_0018.wav,7.7,NS, [and collegues of the deceased member] ulila uyazithulisa umndeni womfundi wemnyaka elitjhumi nobunane ubudalala uLithabo Sibandana
sama_nbl_06h06jun2023_0019.wav,11.4,N,kulindeleke ukuthi yehle intengo yeembaseli kusasa umnyango wezenjiwa namandla uthi yomibili imihlobo yepetroli i [ninety three] ne [ninety five] yokwehla nge [seventy five] ilitha
sama_nbl_06h06jun2023_0020.wav,6.7,N,sizakhe sizwe ukuthi izinto zikhambe njani ngiyiphi indlela eya phambili ukusebenzisana phakathi
sama_nbl_06h06jun2023_0021.wav,6.1,NS,ye [Rustenburg] izolo icala lakhe lathi latshwiliselwa iveke ezako ukwenzela ukuthi athole igqwetha eliyomjamela
sama_nbl_06h06jun2023_0022.wav,6.8,N,umengameli u Cyril Ramaphosa uthi isewula afrika ilahlekelwe mrholi obekazinikele khulu emsebenzinakhe
sama_nbl_06h06jun2023_0023.wav,10.4,N,ngokubhubha kwakangqongqotjhe walokha [Tina Joemat Petersen] u [Joemat Petersen] uhlongakele ekhabo ekapa aneminyaka ematjhumi amahlanu nethoba ubadala
sama_nbl_06h06jun2023_0024.wav,7.5,N,namhlanje kiwo lomhlangano othomako nophela k'sasa siyathemba ke ukuthi ngemva kwawo lomhlangano
sama_nbl_06h06jun2023_0026.wav,9.3,N,lotjhani eendabeni zesimbi yesithandathu kukwekwezi f_m kukhanya bha nguNok'thula Mtshweni lezi ngezokuthoma zelanga
sama_nbl_06h06jun2023_0027.wav,9.2,N,u  [Joemat Petersen] owakhe waba ngungqongqotjhe phambilini usebenze isikhathi eside epolitikini ngokuphatha iinkhundla ezimbalwa zokuba ngungqongqotjhe
sama_nbl_06h06jun2023_0028.wav,4.8,N,ibubulweli eliqalene nazo samnikela umlaleli nethuba lokuthi
sama_nbl_06h06jun2023_0029.wav,5.2,N,bazililela lapha balila khona silibeka lapha ihlelo yisimbi yesithandathu
sama_nbl_06h06jun2023_0030.wav,5.9,N,ayokulatjhelwa ukuhlatjwa naye umsolwa uvele ekhotho yakamarhastrada
sama_nbl_06h06jun2023_0031.wav,7.8,NS,uKghari kangazimbi u sentereng Sibanda utjho njalo khotho ayatsamaya pela [the court proceedings] 
sama_nbl_06h06jun2023_0032.wav,9.5,N,u Osumane Sonke balitjhumi nesithandathu abantu abahlongakele solo kuthome umtjhagalo kubika uKhayelihle Khumalo [the oposition leader] Osumane Sonke
sama_nbl_06h06jun2023_0033.wav,4.8,N,Mbombela [ten twenty] Emerlo [nine twenty two] Emalahleni [eleven twenty two]
sama_nbl_06h06mar2022_0001.wav,10.3,N,amabhizinisi neenhlanganweni zomphakathi ukuguruzela kwathoma ngemva kokuthi ikhotho yemithetho sekelo yahlulele beyalayela ukubotjhwa kwakamengameli walokha
sama_nbl_06h06mar2022_0002.wav,7.7,N,ngomnyaka ophelileko nangenyanga ephelileko begodu bafunyane izethulo ezinengi ezivela emahlangothini athintekako
sama_nbl_06h06mar2022_0003.wav,5.4,N,leso esililisa abantu abalimele eengozini zeendlela enarheni le yesewula afrika
sama_nbl_06h06mar2022_0004.wav,10.9,B,khesiqale ubujamo bezulu namazinga wokutjhisa welanga lanamhlanje
sama_nbl_06h06mar2022_0005.wav,7.3,B,ipilo esiyiphilako yoke iyakhulunyiswa lapha na kilo mtlolo iyakhulunyiswa
sama_nbl_06h06mar2022_0006.wav,7.1,N,ukuthi ngubani ebafuna ukuthi alame u Glen Mashini ongusihlalo wekomitjhana ejamileko yezekhetho
sama_nbl_06h06mar2022_0007.wav,8.3,B,kune kungu engalindeleka eendaweni eziphakamileko kodwana ngokukhamba kwelanga kuanamafu angalindeleka lapha nalapha
sama_nbl_06h06mar2022_0009.wav,6.9,B,kufuthumale nakhonake kunezudlwana elingalindeleka ngaphandle kweeendaweni ezisetjingalanga isifunda setlhagwini kapa
sama_nbl_06h06mar2022_0010.wav,7.2,B,[fifteen twenty eight]  bujamo bezulu namazinga wokutjhisa angalindeleka elangeni lanamhlanje
sama_nbl_06h06mar2022_0011.wav,7.3,N,kanti ke sizokuzwa nezomraro wezeemali oqalene nesikhwama seemali
sama_nbl_06h06mar2022_0012.wav,7.1,N,ijima lokufumana usihlalo omutjha sele lithomile njengombana nomphakathi wabawiwa nawo ukuthi ufake amabizo
sama_nbl_06h06mar2022_0014.wav,6,N,kizo kubalwa ebezikhulunywa nezitloliweko zivela eenhlangano zepolotiki
sama_nbl_06h06mar2022_0015.wav,7.3,N,sakasihlalo wekomitjhana ejamele zezekhetho sifika ekupheleni enyangeni ezako okuyi nyanga kasihlabantangana nje
sama_nbl_06h06mar2022_0016.wav,5.7,B,eendaweni ezisekabeni nakhona kezinye iindawo ezisepumalanga kulindeleke izulu elizokuna umvimbi
sama_nbl_06h06mar2022_0017.wav,6.5,B,kanti ke nakhona ke umoya ophembethako ungalindeleka ngemva kwedina namhlanje
sama_nbl_06h06mar2022_0018.wav,8.8,N,kufike ekupheleni  ikomitjhana le ithi umzombe wokuthoma newesibili wathoma ngokubuthelela ubufakazi kwaZulu Natal nesifundeni se  [Gauteng]
sama_nbl_06h06mar2022_0019.wav,9.4,N,abavezi behlelo ngu Benjamin Tsotetsi ubambisene no Kate Mahlangu kanti ke esiziphetheko ek'seni namhlanje njengombana isikhathi
sama_nbl_06h06mar2022_0020.wav,6.7,N,isimbi yesithandathu poro ehloko umrhatjho ikwekwez f_m kukhanya bha mina ngingu Nompumelelo Mahlangu lotjhani
sama_nbl_06h06mar2022_0021.wav,5.2,B,empumalanga kuyokuba namafu eendaweni ezisepumalanga ekuseni nje kanti kezinye iindawo 
sama_nbl_06h06mar2022_0023.wav,11.1,B,ne[Little Karoo] ngemva kwedina nakhonake omoya ophembethako magega nelwandle ungalindeleka uzakuphola ube ludlana uvela ngetlhagwini utjhinga ngepumalanga
sama_nbl_06h06mar2022_0024.wav,8.6,B,umaspala wetlhagwini kapa kanti nakumaspala abaphezulu esifundeni setjingalanga kapa
sama_nbl_06h06mar2022_0025.wav,6.8,B,namhlanje kungosondo eLimpopo kuyokuba namafu eendaweni ezisepumalanga
sama_nbl_06h06mar2022_0026.wav,6.5,B,etjingalanga kapa kuyokuba nekungu ek'seni nje eendaweni ezimagega nelwandle ngokukhamba kwelanga kuzokufuthumala
sama_nbl_06h06mar2022_0027.wav,6.3,B,iya nalapha emtatweni sizokuthathta intambo ke sitjhinge lapha na e  [hatfield] ePitori
sama_nbl_06h06mar2022_0028.wav,7,B,ukwenzela bona ufumane lapha na ihlelo elinaba ngeendaba eh ngezeveke le ukhona kasonamakhawula
sama_nbl_06h06mar2022_0029.wav,7.7,N,kwanje ikomitjhana le izongena esigabeni sesithathu lapha izokuthoma ngeveke yokuthoma yenyanga kaSihlabantangana
sama_nbl_06h06mar2022_0031.wav,6.6,B,lingalindeleka ekuseni namhlanje etlhagwini kapa liyothoma ngokuthi kube namafu ek'seni nje
sama_nbl_06h06mar2022_0032.wav,9.9,B,sithoma ngeenyeleliso zelanga lanamhlanje kulindeleke ubujamo okuzokubangela ukutjha kwamadlelo eendaweni eziphakamileko e [Kamiesberg]
sama_nbl_06h06mar2022_0033.wav,6.9,B,ayokukhamba abonakala lapha nalapha kodwana kezinye iindawo lizakuvala vala
sama_nbl_06h06mar2022_0034.wav,6.3,N,esiziphetheko njengombana nawe sizokuvulela ukuthi ubeke wakhe umbono lapho uzokuthumela khona iphimbo lakho
sama_nbl_06h06mar2022_0037.wav,6.6,N,u Jacob Zuma ngokubhalelwa kuvela phambi kwekomitjhana ebe iphenya ibatjho yokulawula bombuso
sama_nbl_06h06mar2022_0039.wav,6.4,B,kube kuhle kodwana kutjhise kuzakutjhisa khulu eendaweni ezisetlhagwini neendaweni ezisekabeni yesifunda
sama_nbl_06h06mar2022_0040.wav,5.9,B,izulu elinomvimbi lingarhatjhekela eendaweni ezisepumalanga yesifunda setlhagwini kapa
sama_nbl_06h06mar2022_0042.wav,11.6,NS,ukulalelwa kobubofakazi be  [Gauteng] ngokwenzeka ngenyanga kaVelabahlinze ngomnyaka ophelileko yikomitjhana yamalungelo wobuntu
sama_nbl_06h06mar2022_0043.wav,5.3,B,u v_v Ndlovu neendaba zephasi ke uzazi fumana ngaphambi kwehlelo eh
sama_nbl_06h06mar2022_0044.wav,7.7,B,ngokukhamba kwelanga kuzokufuthumala kezinye iindawo kulindeleke imvimbi ekhambisana nemidumo elizokuna 
sama_nbl_06h06mar2022_0045.wav,7.3,N,singena ehlelweni ngezeveke le namhlanje amalanga asithandathu yinyanga kaNtaka myaka ka [twenty twenty two]
sama_nbl_06h06mar2022_0046.wav,5.3,B,manengi khulu asikwazi ukuthi siwatjhingise woke emoyeni sithokoza ama   [emails]
sama_nbl_06h06mar2022_0047.wav,4.7,B,nokho ke asilibambe la mlaleli wekwekwezi f_m ngithokoza boke abangithumele ama  [whatsapp]
sama_nbl_06h06mar2022_0048.wav,6.7,B,avulekile amasango ngisayivuthelake nawe mlaleli wekwekwezi f_m yenza njaloo
sama_nbl_06h06mar2022_0049.wav,7,N,kanti ke nejima ke lokwelusa nomukghwa wokukhahlumeza abantu eh wokukhahlumezana nkhaya abantu nabentwana
sama_nbl_06h06mar2022_0050.wav,5,N,lisaragela phambili belibanjwe esifundeni seLimpopo ngaphambi kokuthi singene kizo lezi
sama_nbl_06h06mar2022_0051.wav,9.9,B,umvimbi eh iimfethezana yezulu ezokuna iimvimbi kanti eendaweni ezikude ze  [gauteng] ngokukhamba kwelanga lananamhlanje kulindleke ukuthi kube neemisebe yelanga etjhisa khulu
